"long","lat","CTPRV_NM","SGNG_NM","X2019.05","X2019.06","X2019.07","X2019.08","X2019.09","X2019.10","X2019.11","X2019.12","X2020.01","X2020.02","X2020.03","X2020.04","X2020.05","X2020.06","X2020.07","X2020.08","X2020.09","X2020.10","X2020.11","X2020.12","X2021.01","X2021.02","X2021.03","X2021.04","X2021.05","X2021.06","X2021.07","X2021.08","X2021.09","X2021.10","X2021.11","X2021.12","X2022.01","X2022.02","X2022.03","X2022.04","X2022.05","X2022.06","X2022.07","X2022.08","X2022.09","X2022.10","X2022.11"
127.1259955934,37.6024831358904,"경기도","구리",26,17,20,18,12,15,22,30,29,29,26,21,19,22,12,12,10,16,22,27,20,27,29,18,22,20,13,12,7,13,25,23,27,23,21,20,17,13,14,10,10,13,21
128.337822005972,36.1853821176539,"경상북도","구미",18,18,16,12,9,11,19,26,24,23,20,17,16,17,11,14,13,18,26,26,23,24,23,16,17,18,11,11,11,17,24,23,27,24,23,16,16,12,11,10,11,17,28
126.579731743271,35.9131244625492,"전라북도","군산",32,25,18,15,15,19,22,24,27,24,23,19,21,23,14,15,16,21,24,23,22,27,33,20,23,26,14,12,10,17,23,22,25,26,23,22,18,14,15,9,17,19,29
128.638827026707,36.1786692267407,"경상북도","군위",20,17,15,15,12,13,19,24,15,24,19,16,13,14,7,11,8,14,21,25,20,21,18,14,16,18,11,10,7,9,16,17,22,21,23,16,16,12,7,6,6,10,18
126.930426870258,37.3386426631592,"경기도","군포",28,19,20,14,14,19,21,28,27,26,25,21,22,24,15,13,13,18,23,24,19,29,34,19,24,24,17,13,9,14,24,20,25,21,22,22,17,12,14,10,14,17,25
127.493640407073,36.1223358887846,"충청남도","금산",24,23,11,15,15,22,29,32,35,31,27,24,21,23,12,13,13,19,26,33,27,28,29,18,22,21,11,12,8,16,25,28,32,28,26,20,18,11,13,8,8,12,23
126.94600495633,35.8065622085825,"전라북도","김제",26,24,19,19,16,22,28,29,33,29,26,22,22,27,14,16,17,25,30,31,28,31,36,21,24,26,15,15,12,24,31,31,36,35,29,24,19,13,15,12,19,22,33
128.088191085767,36.0723138970934,"경상북도","김천",18,20,17,14,14,16,21,29,26,26,23,23,21,20,10,12,11,16,22,22,20,24,24,16,16,16,10,9,8,16,22,21,23,22,22,15,14,11,10,8,9,14,25
126.656832494415,37.6319300366001,"경기도","김포",31,17,18,14,13,18,22,32,31,27,26,21,20,21,16,15,14,21,28,31,25,34,39,22,26,26,19,16,11,18,33,26,31,27,24,25,19,13,18,13,16,19,26
128.813308228595,35.2522603116263,"경상남도","김해",23,21,18,19,14,12,18,23,21,21,16,16,17,16,11,17,13,16,18,20,17,19,19,15,15,17,13,13,9,14,19,18,20,18,19,15,17,10,13,12,11,13,21
126.71002362723,34.9867165555889,"전라남도","나주",20,21,14,17,9,12,19,19,23,17,14,15,15,14,8,13,13,15,17,22,18,18,24,13,17,15,8,7,6,8,17,26,24,23,19,16,13,9,9,6,12,16,23
127.235552201103,37.6611149266404,"경기도","남양주",26,19,17,15,11,14,22,31,29,29,25,20,18,20,9,11,9,16,23,28,20,27,29,17,18,17,13,11,6,12,24,22,28,25,20,20,16,12,12,11,10,13,21
127.416141032079,35.4480408479639,"전라북도","남원",23,19,11,14,11,12,20,24,26,22,18,18,17,18,11,16,13,16,17,22,24,29,31,18,18,16,9,10,7,13,19,21,25,22,21,17,16,13,14,10,12,15,24
127.955884777958,34.8249235194675,"경상남도","남해",20,20,13,16,11,12,18,21,21,21,14,16,19,12,9,14,10,11,14,17,17,19,19,15,17,15,10,9,9,12,15,16,20,18,17,13,15,9,8,7,9,9,17
127.118434144747,36.2012798469164,"충청남도","논산",22,18,15,17,13,15,19,20,27,33,27,15,17,18,9,13,12,19,23,25,20,25,25,18,17,20,12,11,8,17,23,24,28,27,24,21,17,11,13,8,11,17,27
128.393632024602,37.0210574289084,"충청북도","단양",28,23,16,18,16,20,32,34,32,26,24,19,16,20,9,13,10,16,19,27,21,25,24,17,18,16,11,10,8,17,24,21,27,24,23,19,18,14,14,12,12,13,22
126.979193109314,35.2746302396672,"전라남도","담양",20,28,18,17,11,14,20,16,17,18,17,17,17,18,10,10,9,13,11,17,14,18,22,12,9,15,8,6,8,14,23,22,22,20,19,16,18,14,12,9,12,13,21
126.649864181846,36.9053236786552,"충청남도","당진",34,28,21,19,18,26,29,35,36,32,29,20,24,23,17,15,15,22,29,28,26,36,40,22,25,24,16,15,10,17,29,28,32,29,28,25,20,14,18,10,15,22,32
128.587955776316,35.8541371782783,"대구광역시","대구광역시",23,20,16,16,13,14,21,29,26,26,20,18,20,20,14,16,15,18,23,24,21,24,23,17,18,20,10,11,9,15,22,22,24,21,22,17,17,12,12,9,9,12,23
127.402108528152,36.3401180059186,"대전광역시","대전광역시",22,18,14,15,12,15,21,25,25,23,20,17,16,19,9,10,12,18,20,20,18,21,23,15,18,18,9,11,8,15,19,21,25,24,24,18,15,10,12,8,10,14,24
127.073547126624,37.9146559875905,"경기도","동두천",28,20,17,12,11,16,24,32,39,24,21,19,17,18,11,12,10,13,18,26,16,23,24,14,16,15,11,10,5,11,22,20,22,23,17,17,14,10,10,9,8,10,22
129.08991377797,37.5193753014703,"강원도","동해",22,18,18,14,11,11,15,17,15,20,18,17,14,17,10,19,15,16,17,17,15,20,19,17,17,20,15,14,8,10,19,14,18,18,30,19,14,10,11,9,6,5,14
126.373344976132,34.7953659108732,"전라남도","목포",22,16,14,16,13,16,16,19,24,17,14,14,13,14,9,16,13,13,13,14,14,17,19,11,13,14,10,10,9,13,16,15,17,18,14,14,13,10,11,8,12,11,15
126.370832077948,35.0046751296542,"전라남도","무안",28,24,16,16,19,21,20,22,27,24,20,18,19,19,9,14,14,24,23,19,20,25,28,17,21,19,12,11,9,16,21,21,22,22,19,18,16,13,10,9,16,17,19
127.691359954296,35.9594032022437,"전라북도","무주",19,19,10,9,7,10,16,22,23,20,19,18,18,22,11,12,11,15,17,19,19,22,21,13,14,14,8,8,5,9,13,15,21,19,18,13,13,12,12,7,7,10,18
128.147862081893,36.6482656058984,"경상북도","문경",20,17,15,15,12,13,19,24,22,23,19,16,13,15,7,10,10,17,26,29,23,25,24,18,19,19,11,11,9,15,24,22,25,24,23,15,14,12,8,5,6,11,25
128.790253991686,35.4886250864507,"경상남도","밀양",19,18,14,12,7,9,17,22,21,22,19,18,18,17,11,14,13,18,22,24,20,23,21,16,16,18,8,9,7,12,18,19,21,20,21,15,16,13,12,9,8,10,17
126.448248289173,36.3432596551545,"충청남도","보령",25,20,14,16,13,20,24,28,33,32,25,19,18,17,11,12,12,19,24,26,23,32,32,20,21,18,12,11,8,15,21,25,29,27,24,21,16,10,15,9,15,21,29
127.26319203713,34.8015529198811,"전라남도","보성",21,20,13,16,11,12,16,20,24,21,15,16,13,12,7,12,10,13,15,21,19,22,21,14,15,14,9,9,8,12,16,18,23,23,19,15,16,9,10,8,11,11,16
127.707251131274,36.4630433851554,"충청북도","보은",25,19,9,14,10,15,24,35,34,32,29,27,16,18,6,9,9,18,27,33,27,30,27,19,24,19,10,9,6,16,27,26,31,28,26,20,18,14,12,9,9,13,23
128.887332909635,36.9188254744821,"경상북도","봉화",17,13,13,14,7,9,12,16,14,17,15,15,11,15,7,12,9,11,14,18,14,17,11,9,11,9,10,10,6,10,14,13,17,17,18,14,15,11,9,9,7,9,15
129.058116972444,35.1553087765572,"부산광역시","부산광역시",25,21,18,19,13,13,17,23,21,22,16,17,17,15,10,19,13,15,17,21,19,21,21,15,16,15,9,10,8,12,18,19,21,19,21,16,17,10,12,10,10,11,19
126.510750810099,35.6443802846814,"전라북도","부안",29,23,16,15,15,20,26,27,33,27,23,18,18,20,12,13,15,22,23,22,24,28,34,22,24,25,15,14,12,21,29,29,31,30,26,24,19,14,17,11,19,19,29
126.910225869052,36.2392407828054,"충청남도","부여",28,23,17,21,14,17,21,26,31,34,28,24,21,23,13,16,14,20,22,23,22,25,29,23,26,28,17,20,10,18,21,23,25,24,21,18,16,12,15,10,12,16,20
126.789028296798,37.5080058255359,"경기도","부천",35,25,28,24,20,23,28,34,34,32,31,26,29,28,19,14,13,21,28,27,22,30,41,22,29,30,19,15,10,18,33,27,31,27,25,23,16,11,14,8,13,17,26
128.029649365942,35.0056644324175,"경상남도","사천",17,18,13,16,11,11,16,18,18,20,14,13,13,14,9,17,11,12,14,16,15,17,17,13,14,14,10,10,9,13,18,17,22,19,17,12,15,9,11,9,9,11,17
